r_err:mag:sus:N:T:h:gamma:n:no_h_err:model
0.9985990186255943:1.0:0.0:625:0.2:0.0::50:0.9585990186255943:2D Ising Model
1.4785344094744621:1.0:0.0:625:0.29600000000000004:0.0::50:1.4193344094744622:2D Ising Model
1.958501467959624:1.0:0.0:625:0.392:0.0::50:1.880101467959624:2D Ising Model
2.4384814947011617:0.9999997090909092:1.9074271778891502e-09:625:0.48800000000000004:0.0::50:2.340881494701162:2D Ising Model
2.9161324913849356:0.9999982545454547:9.558917695007237e-09:625:0.5840000000000001:0.0::50:2.7994259687837286:2D Ising Model
3.3930167711351857:0.9999883636363636:5.456023334953749e-08:625:0.6799999999999999:0.0::50:3.2572345454776364:2D Ising Model
3.7683610347765955:0.9999191272727272:3.4905993695151696e-07:625:0.776:0.0::50:3.6175690785236103:2D Ising Model
4.076238965813592:0.9988544:0.0008628611266722271:625:0.8720000000000001:0.0::50:3.9133807975822537:2D Ising Model
4.175497846497241:0.9978536727272729:0.001388384912811967:625:0.968:0.0::50:4.009905950019806:2D Ising Model
5.159916414310957:0.997722181818182:0.0008362542402286702:625:1.064:0.0::50:5.004130982794369:2D Ising Model
95.92326718018803:0.9967200000000002:0.0006875567147335422:625:1.16:0.0::50:95.14677840884032:2D Ising Model
237.0854752459683:0.995929890909091:1.2627841044375475e-05:625:1.256:0.0::50:225.78752043443495:2D Ising Model
215.45181830992914:0.9932020363636365:2.1083073855934373e-05:625:1.352:0.0::50:196.65629940573936:2D Ising Model
271.57809777651534:0.9892308363636365:6.977742468015163e-05:625:1.448:0.0::50:230.8318531801163:2D Ising Model
137.5287482145154:0.9834426181818182:0.00026266002005395444:625:1.544:0.0::50:106.26349515209068:2D Ising Model
13.065899048016428:0.9763092363636363:8.444212536504728e-05:625:1.64:0.0::50:9.806486596955246:2D Ising Model
5.043451444220567:0.9654603636363637:0.00013241836188444982:625:1.736:0.0::50:3.489592045982654:2D Ising Model
0.5738625925542792:0.9513405090909091:0.0002219922404301851:625:1.832:0.0::50:0.5698502572251305:2D Ising Model
0.5382327803855287:0.9319819636363635:0.00037476099309625873:625:1.928:0.0::50:0.5344699532412673:2D Ising Model
0.5081508941304806:0.9027706181818183:0.000754708994960311:625:2.024:0.0::50:0.5030611740071868:2D Ising Model
0.506208690291365:0.8577157818181818:0.0017803063765127085:625:2.12:0.0::50:0.4996048051228441:2D Ising Model
0.5627926982489548:0.7660840727272727:0.00730003398792016:625:2.216:0.0::50:0.5370604753191613:2D Ising Model
0.6056482492690568:0.5838635636363636:0.01945696755097143:625:2.3120000000000003:0.0::50:0.5811461283585745:2D Ising Model
0.6837892633342242:0.3727744:0.018768749132854118:625:2.4080000000000004:0.0::50:0.657838145016873:2D Ising Model
0.7489823429614384:0.2518914909090909:0.011689785085809942:625:2.5040000000000004:0.0::50:0.7205665130075202:2D Ising Model
0.7904835444759144:0.1928826181818182:0.007326589374706167:625:2.6:0.0::50:0.7631708295596571:2D Ising Model
0.8408620041351361:0.15895272727272727:0.0050288053755793705:625:2.696:0.0::50:0.8104481331102036:2D Ising Model
0.8988729710658837:0.13896494545454544:0.003750206832605081:625:2.7920000000000003:0.0::50:0.8686131524230333:2D Ising Model
0.9647929569811622:0.12099316363636364:0.0028612227186447198:625:2.8880000000000003:0.0::50:0.9309472629478054:2D Ising Model
1.011154362084097:0.11145425454545456:0.0022849937491130658:625:2.9840000000000004:0.0::50:0.9757444121329817:2D Ising Model
1.0928632076083542:0.10166749090909091:0.00190441078083675:625:3.08:0.0::50:1.0527364986691128:2D Ising Model
1.1446023695634684:0.09611141818181818:0.001596144660117826:625:3.176:0.0::50:1.105812704711334:2D Ising Model
1.2416554278125924:0.08897221818181816:0.0013393114956067006:625:3.2720000000000002:0.0::50:1.196581356826912:2D Ising Model
1.2933643001866282:0.08484421818181818:0.0012378884974162264:625:3.3680000000000003:0.0::50:1.2438496341279044:2D Ising Model
1.3482006976828196:0.08113832727272728:0.0010747506802756095:625:3.4640000000000004:0.0::50:1.300609310123449:2D Ising Model
1.4170812644860418:0.07659490909090909:0.000944210321626892:625:3.56:0.0::50:1.3667998805409187:2D Ising Model
1.5246756336009226:0.07430923636363636:0.0008521152879845199:625:3.656:0.0::50:1.4723721971883967:2D Ising Model
1.5736055682709587:0.07195607272727271:0.0007717734884265802:625:3.7520000000000002:0.0::50:1.5168104196864782:2D Ising Model
1.6572191506889973:0.0690013090909091:0.0006967434733781207:625:3.8480000000000003:0.0::50:1.5970095187458466:2D Ising Model
1.7299611069641772:0.06722472727272727:0.0006477284675037298:625:3.9440000000000004:0.0::50:1.6640518551232912:2D Ising Model
1.8145688430095908:0.06591534545454546:0.0006133615240703706:625:4.04:0.0::50:1.7523694130850402:2D Ising Model
1.8752252519433088:0.0628736:0.0005475615951608932:625:4.136:0.0::50:1.8062705446232714:2D Ising Model
1.9561502080937883:0.062275490909090896:0.0005242763299610992:625:4.232:0.0::50:1.8798193081427708:2D Ising Model
2.035063165787858:0.060707199999999996:0.00047627243803058313:625:4.328:0.0::50:1.9630689549811107:2D Ising Model
2.1436774229137385:0.06001396363636363:0.00045958844844619135:625:4.424:0.0::50:2.065902106234558:2D Ising Model
2.2085546171310524:0.05894778181818182:0.00042904666303049795:625:4.5200000000000005:0.0::50:2.1242783220890082:2D Ising Model
2.2784529210084035:0.05819200000000001:0.0004180664175200882:625:4.6160000000000005:0.0::50:2.1960768248342353:2D Ising Model
2.3878090631277975:0.05604567272727273:0.0003893185015824552:625:4.712000000000001:0.0::50:2.3017569779047267:2D Ising Model
2.458257520591485:0.05561163636363637:0.00036457540066830757:625:4.808000000000001:0.0::50:2.3711042601981114:2D Ising Model
2.551282592691958:0.0550365090909091:0.00033847975785905924:625:4.904:0.0::50:2.4597412068761915:2D Ising Model
2.6505785350132083:0.05384232727272727:0.0003308428416803967:625:5.0:0.0::50:2.550775313151092:2D Ising Model
