r_err:mag:sus:N:T:h:gamma:n:no_h_err
0.18289105581622125:0.04114690909090909:0.998306931872265:2000:1.64:0.0:3.7:20:0.17855267637728603
0.24356093232907958:0.12743027272727273:0.9837615255926544:2000:2.6:0.0:3.0:20:0.2389973364423935
0.2762183566507249:0.0006713636363636364:0.9999995492708678:2000:2.6:0.0:4.0:20:0.26987035938415016
0.2599413783593538:0.008852181818181818:0.9999216388770542:2000:3.08:0.0:3.0:20:0.2540313730974468
0.20677922163067625:0.010690727272727272:0.9998857083503756:2000:2.12:0.0:3.2:20:0.2020758739036909
0.33268740713848616:0.0002946363636363636:0.9999999131894153:2000:3.56:0.0:3.4000000000000004:20:0.325196301910273
2.207697724823446:0.535937:0.712771532031001:2000:1.16:0.0:3.0:20:2.158449236656634
0.21636469441850595:0.010039090909090909:0.9998992166537175:2000:2.12:0.0:3.4000000000000004:20:0.21135067230154972
0.29022649117140875:9.027272727272728e-05:0.9999999918508333:2000:2.84:0.0:3.8:20:0.2836080499443006
2.517989813739295:0.7268493636363637:0.4716900025814136:2000:0.44:0.0:2.7:20:2.4619488296189287
2.9180522009100573:0.37416581818181815:0.8599999405043305:2000:3.8:0.0:2.3:20:2.8529375519743443
2.505020470196801:0.6049938181818182:0.6339824799617853:2000:2.6:0.0:2.0:20:2.4490621259808623
1.0933903111086183:0.32728127272727275:0.8928869685220167:2000:2.3600000000000003:0.0:2.8:20:1.0693426975041054
2.044310011159845:0.5451369090909091:0.7028257503468088:2000:0.6799999999999999:0.0:4.0:20:1.9986802150362344
0.23373562997605823:0.000550090909090909:0.9999996973999938:2000:2.12:0.0:3.9000000000000004:20:0.2283983869384342
0.4746234240869633:8.472727272727272e-05:0.999999992821289:2000:4.76:0.0:4.0:20:0.46400643436645944
1.4121899729171252:0.16183745454545453:0.9738086383062483:2000:4.5200000000000005:0.0:2.6:20:1.3813794356609568
1.8479721338024961:0.4616138181818182:0.7869126828636027:2000:1.4:0.0:3.1:20:1.8068090005492863
1.3164412457510428:0.28115036363636364:0.9209544730271401:2000:2.6:0.0:2.8:20:1.2873799013752751
0.3184982319901876:2.2090909090909092e-05:0.9999999995119927:2000:3.3200000000000003:0.0:3.5:20:0.31121621490512763
0.3403790110087219:0.0003007272727272727:0.9999999095631062:2000:3.3200000000000003:0.0:3.6:20:0.33268911968030196
1.4825719567561138:0.5072600909090909:0.7426872001709003:2000:2.3600000000000003:0.0:2.4:20:1.4496204394980565
0.4103639733860311:0.00015763636363636365:0.9999999751507767:2000:4.28:0.0:3.6:20:0.4011474183026777
2.4325372552825577:0.6492869090909091:0.5784265096831744:2000:1.88:0.0:2.1:20:2.3782064066217568
3.248923933709501:0.43533381818181816:0.8104844667472407:2000:4.76:0.0:2.0:20:3.176352656017008
2.6227004390476596:0.5383607272727273:0.7101677273303797:2000:3.3200000000000003:0.0:2.0:20:2.5641359032670596
0.4560745129049071:4.127272727272727e-05:0.9999999982965617:2000:4.76:0.0:3.2:20:0.4458187911125341
2.5579241068856997:0.6278983636363636:0.605743644942777:2000:2.3600000000000003:0.0:2.0:20:2.5007870715081584
0.37288899978229434:0.00024263636363636363:0.9999999411275979:2000:3.8:0.0:3.8:20:0.3644162932731015
0.2609482723164379:0.00017536363636363637:0.9999999692476003:2000:2.3600000000000003:0.0:3.9000000000000004:20:0.25499830922405264
1.0222120757685536:0.817196:0.3321906975839992:2000:0.2:0.0:2.4:20:0.9993649235029304
2.6015394008851036:0.5496423636363637:0.6978932720962326:2000:2.3600000000000003:0.0:2.2:20:2.543456416624553
0.3662401323226712:0.0005673636363636364:0.9999996780985043:2000:4.04:0.0:3.3:20:0.35798813333290364
0.20528747620117807:0.17727909090909091:0.9685721239264481:2000:1.88:0.0:3.4000000000000004:20:0.2043486434080464
2.1340913702945143:0.7819753636363637:0.3885145306657761:2000:0.6799999999999999:0.0:2.2:20:2.0864428936540813
2.4205733950405666:0.7006241818181819:0.5091257558516021:2000:1.4:0.0:2.1:20:2.366480304352579
2.949746799758897:0.4825500909090909:0.7671454097636276:2000:2.84:0.0:2.2:20:2.8838932663816803
0.4626106252888269:0.00016509090909090908:0.9999999727449926:2000:5.0:0.0:3.4000000000000004:20:0.45233964379540686
0.24657824953254365:0.0004149090909090909:0.9999998278504468:2000:2.3600000000000003:0.0:4.0:20:0.24093712549570753
0.43259153976028814:0.0001420909090909091:0.9999999798101696:2000:4.5200000000000005:0.0:3.5:20:0.4229012350775574
1.319286934085171:0.48928263636363634:0.7606025017530479:2000:0.9199999999999999:0.0:3.8:20:1.2899484566553734
2.6190911290724443:0.3396931818181818:0.8846085422262422:2000:4.28:0.0:2.3:20:2.560705264591663
3.0967180852257927:0.35126454545454544:0.8766132191066092:2000:4.04:0.0:2.3:20:3.0276127115688913
