r_err:mag:sus:N:T:h:gamma:n
1.0657176006762514:5.909090909090909e-05:0.9999999965082641:1000:3.56:0.0:3.3499999999999996:20
2.7975080223084365:0.634518:0.5973869076759999:1000:1.4:0.0:2.45:20
1.0019893419204804:0.08868727272727273:0.9921345676561968:1000:2.12:0.0:3.2:20
1.3803366634778818:5.0545454545454544e-05:0.9999999974451573:1000:3.56:0.0:4.85:20
2.108726608712255:0.16545363636363636:0.9726250942140503:1000:0.2:0.0:4.1:20
0.950358812429652:0.000522:0.9999997275159991:1000:2.84:0.0:3.8:20
0.9083002270363233:0.0005909090909090909:0.9999996508264477:1000:2.6:0.0:4.4:20
0.8618810435753963:0.00023472727272727274:0.9999999449031077:1000:2.3600000000000003:0.0:4.25:20
3.19684349054869:0.3444961818181818:0.8813223807126938:1000:3.8:0.0:2.3:20
2.733465274003305:0.5870689090909091:0.6553500959788087:1000:2.6:0.0:2.0:20
1.2695527544699652:0.00010218181818181818:0.9999999895588746:1000:3.8:0.0:3.65:20
1.529444192734645:0.0003572727272727273:0.9999998723561986:1000:4.76:0.0:3.65:20
1.0857353002093428:0.0006661818181818182:0.9999995562017862:1000:3.08:0.0:4.85:20
3.458903358621906:0.36132254545454545:0.8694460181462477:1000:4.5200000000000005:0.0:2.15:20
1.4364257160877272:0.8088285454545454:0.34579638405788454:1000:0.44:0.0:2.15:20
3.4710618636989437:0.5068383636363636:0.7431148731464128:1000:0.44:0.0:4.25:20
2.199170981986562:0.07400036363636364:0.9945239461816846:1000:0.2:0.0:4.85:20
1.466926374803994:0.05613109090909091:0.996849300633356:1000:4.5200000000000005:0.0:2.6:20
0.9811364864407324:0.00033709090909090906:0.9999998863697186:1000:3.3200000000000003:0.0:3.5:20
2.6516884417801343:0.668196:0.5535141055840003:1000:1.4:0.0:2.15:20
2.8347304266139295:0.6847036363636364:0.5311809303504131:1000:1.16:0.0:2.45:20
3.194992983110993:0.5044994545454545:0.7454803003633391:1000:2.84:0.0:2.15:20
1.6805415342198189:4.4181818181818184e-05:0.999999998047966:1000:5.0:0.0:4.1:20
1.8485605592801713:0.33565836363636364:0.8873334629209597:1000:0.2:0.0:3.3499999999999996:20
1.8606851947711462:0.21576672727272728:0.953444719402016:1000:4.76:0.0:2.0:20
0.5997897541995144:0.011776363636363637:0.9998613172595039:1000:0.9199999999999999:0.0:4.55:20
0.6295045733668554:0.0010483636363636363:0.9999989009336872:1000:1.88:0.0:4.1:20
2.5199812494082297:0.582107090909091:0.661151334713356:1000:0.9199999999999999:0.0:3.05:20
2.95229580962692:0.5362165454545454:0.7124718163807938:1000:3.3200000000000003:0.0:2.0:20
1.3994587604198803:6.836363636363637e-05:0.9999999953264138:1000:4.76:0.0:3.2:20
2.9199202871576615:0.6028921818181818:0.6365210171025133:1000:2.3600000000000003:0.0:2.0:20
0.6315171703643365:0.017561818181818182:0.9996915825421482:1000:1.88:0.0:3.3499999999999996:20
1.1753906000056586:0.0003769090909090909:0.9999998579395396:1000:3.8:0.0:3.05:20
1.3266013128833363:0.0002269090909090909:0.9999999485122666:1000:3.8:0.0:3.8:20
0.9049718523171985:0.0010063636363636364:0.9999989872322321:1000:3.3200000000000003:0.0:3.05:20
3.6824980370367455:0.34801854545454547:0.878883092019703:1000:5.0:0.0:2.15:20
1.021730196259702:0.0009921818181818183:0.9999990155752407:1000:2.6:0.0:4.85:20
1.3074435052913111:0.0006283636363636363:0.999999605159141:1000:3.3200000000000003:0.0:5.0:20
1.6035871797995942:0.43795527272727275:0.8081951790903799:1000:0.6799999999999999:0.0:4.1:20
1.9337079363545164:0.00018472727272727274:0.9999999658758363:1000:5.0:0.0:4.699999999999999:20
1.6069914982930038:0.0003129090909090909:0.9999999020879009:1000:4.5200000000000005:0.0:4.4:20
1.6933239774644917:7.927272727272727e-05:0.9999999937158356:1000:5.0:0.0:3.65:20
1.4376102619674491:0.0007090909090909091:0.9999994971900813:1000:4.5200000000000005:0.0:3.5:20
1.4776540491145467:0.46305345454545455:0.7855814982335212:1000:0.9199999999999999:0.0:3.8:20
2.970090197781011:0.266012:0.9292376158559998:1000:4.28:0.0:2.3:20
0.9915045788620114:0.00011236363636363637:0.999999987374415:1000:2.84:0.0:4.1:20
1.1869464987827374:0.00035854545454545454:0.9999998714451492:1000:3.3200000000000003:0.0:4.85:20
3.1739334656686418:0.33247872727272726:0.8894578959111068:1000:4.04:0.0:2.3:20
1.0382384466607442:0.0002587272727272727:0.9999999330601983:1000:2.84:0.0:4.4:20
0.9769922310239189:0.0005616363636363637:0.9999996845645952:1000:2.6:0.0:5.0:20
1.1817069033584089:0.0005043636363636363:0.9999997456173235:1000:3.56:0.0:3.65:20
1.3226659569979144:0.00019054545454545455:0.9999999636924307:1000:3.56:0.0:4.699999999999999:20
0.9876032563496238:0.0003938181818181818:0.9999998449072394:1000:2.84:0.0:3.95:20
0.9273583055188299:0.0005809090909090909:0.9999996625446275:1000:3.08:0.0:3.5:20
2.004677776280049:0.44802909090909093:0.799269933699174:1000:1.64:0.0:2.75:20
1.0053863188720387:1.6363636363636365e-06:0.9999999999973218:1000:3.08:0.0:4.1:20
2.3821561186762876:0.6884507272727273:0.5260355961176542:1000:1.64:0.0:2.0:20
2.8401424458151165:0.48606872727272726:0.7637371923674716:1000:4.28:0.0:2.0:20
1.6880269898901643:2.9636363636363638e-05:0.9999999991216859:1000:5.0:0.0:3.95:20
0.8826505232013063:0.0001430909090909091:0.9999999795249901:1000:2.6:0.0:4.1:20
2.4177622552035536:0.14642181818181818:0.9785606511603301:1000:0.2:0.0:4.699999999999999:20
0.8157332300837545:0.00037018181818181817:0.9999998629654219:1000:2.3600000000000003:0.0:3.5:20
1.424484696503791:0.2343270909090909:0.9450908144660812:1000:2.84:0.0:2.75:20
2.530239211990562:0.448318:0.7990109708760007:1000:1.88:0.0:2.75:20
2.067546195246118:0.37249:0.8612511999000008:1000:0.2:0.0:3.8:20
1.4804994906090068:0.00019854545454545456:0.9999999605797014:1000:4.04:0.0:4.85:20
2.8245499458510475:0.3529438181818182:0.8754306612072402:1000:3.8:0.0:2.45:20
2.5237679697976962:0.42148654545454545:0.822349092000794:1000:3.08:0.0:2.3:20
2.0733297817548797:0.5299518181818181:0.7191510704057863:1000:1.16:0.0:3.2:20
4.740744924545866:0.6464836363636364:0.5820589079140495:1000:0.44:0.0:3.5:20
1.1233194611393822:0.2718578181818182:0.9260933266934203:1000:1.4:0.0:3.5:20
1.295498159534339:0.00035163636363636365:0.9999998763518683:1000:4.04:0.0:3.8:20
1.2105876601955892:0.3741069090909091:0.8600440205704459:1000:0.6799999999999999:0.0:5.0:20
1.8051218804867757:0.0003169090909090909:0.9999998995686261:1000:4.5200000000000005:0.0:5.0:20
1.5173314588464708:0.000108:0.9999999883359987:1000:4.28:0.0:4.4:20
2.3220235495765236:0.47806672727272725:0.7714522042747435:1000:1.64:0.0:2.6:20
1.4297754465685366:0.0003798181818181818:0.9999998557381484:1000:5.0:0.0:3.3499999999999996:20
1.7984032796614893:0.6104263636363636:0.6273796545776877:1000:0.2:0.0:3.2:20
1.9317212981163343:0.6293414545454545:0.6039293335906117:1000:0.2:0.0:3.5:20
2.8418570452605723:0.5499987272727273:0.6975013999983807:1000:2.12:0.0:2.3:20
3.0477903588204085:0.6586385454545455:0.5661952664415205:1000:0.9199999999999999:0.0:2.75:20
0.8583034341687704:0.08932181818181818:0.9920216127966929:1000:1.64:0.0:3.5:20
2.555174417136703:0.6903290909090909:0.5234457462446286:1000:1.88:0.0:2.0:20
0.7347218290121759:0.004486181818181818:0.9999798741726927:1000:2.3600000000000003:0.0:3.65:20
1.6460210498335375:6.181818181818182e-05:0.9999999961785139:1000:4.76:0.0:4.4:20
1.0315779820854758:0.001238:0.9999984673560003:1000:3.56:0.0:3.2:20
3.426019329054874:0.44748072727272725:0.7997609987194707:1000:4.5200000000000005:0.0:2.0:20
0.7105625942431308:0.003835090909090909:0.9999852920777194:1000:2.12:0.0:3.5:20
1.2208181838081704:0.00011218181818181818:0.9999999874152412:1000:3.8:0.0:3.5:20
2.953785107672217:0.5760443636363637:0.668172891122779:1000:1.16:0.0:2.75:20
1.4150839451301656:0.00031563636363636364:0.9999999003736858:1000:4.5200000000000005:0.0:3.3499999999999996:20
1.4331967282979503:0.0006018181818181818:0.9999996378148756:1000:3.56:0.0:4.4:20
1.5854668762823756:7.727272727272727e-05:0.9999999940289264:1000:4.5200000000000005:0.0:3.95:20
0.6761646473512394:0.00020090909090909092:0.9999999596355371:1000:1.88:0.0:4.85:20
2.356851812468691:0.7512663636363637:0.4355988508685952:1000:1.16:0.0:2.15:20
0.7345369656023695:0.029941272727272726:0.9991035201874716:1000:2.6:0.0:3.05:20
3.1295321458217296:0.4111629090909091:0.8309450621879013:1000:4.28:0.0:2.15:20
0.6125534491545438:0.0020932727272727275:0.9999956182092882:1000:1.64:0.0:4.1:20
0.6243421140815273:0.0007725454545454546:0.9999994031735191:1000:1.64:0.0:4.4:20
2.9935595513281443:0.5693663636363636:0.6758219439595036:1000:1.64:0.0:2.45:20
2.540389574380789:0.4971230909090909:0.7528686324849917:1000:2.3600000000000003:0.0:2.45:20
1.1325327997245083:0.0012745454545454546:0.9999983755338847:1000:4.04:0.0:3.05:20
0.7635635991755562:0.0008149090909090909:0.9999993359231739:1000:2.3600000000000003:0.0:3.95:20
1.40605513840683:0.45520254545454547:0.7927906426117021:1000:0.6799999999999999:0.0:4.699999999999999:20
0.983251871633544:0.00013618181818181817:0.9999999814545113:1000:3.56:0.0:3.05:20
0.7690072670004673:0.0003618181818181818:0.9999998690876046:1000:2.12:0.0:4.4:20
1.53770924040598:0.00014218181818181818:0.9999999797843299:1000:3.8:0.0:4.4:20
2.116738904595917:0.12104254545454546:0.9853487021898837:1000:0.2:0.0:5.0:20
3.2675199937227815:0.40557527272727273:0.8355086981521984:1000:2.84:0.0:2.45:20
2.943898404403668:0.37204254545454546:0.8615843443717035:1000:3.3200000000000003:0.0:2.45:20
1.0451834648495202:0.006791636363636363:0.9999538736755031:1000:5.0:0.0:2.45:20
2.239817764547691:0.46471345454545454:0.7840414051644308:1000:3.56:0.0:2.15:20
2.595854873153347:0.24671745454545455:0.9391304976226127:1000:3.8:0.0:2.6:20
3.0870836163287287:0.3140252727272727:0.9013881280885594:1000:4.5200000000000005:0.0:2.3:20
2.5944283414730958:0.2717696363636364:0.9261412647507776:1000:4.76:0.0:2.3:20
1.0942830598658366:0.7915076363636364:0.37351566157804955:1000:0.2:0.0:2.3:20
5.808207701786932:0.8783094545454545:0.22857250205606608:1000:0.6799999999999999:0.0:2.15:20
1.3828195495111015:2.909090909090909e-05:0.9999999991537187:1000:4.28:0.0:3.95:20
1.6251049359600656:0.5136476363636364:0.7361661056580493:1000:0.6799999999999999:0.0:4.4:20
0.8517285632821696:5.218181818181818e-05:0.9999999972770574:1000:3.08:0.0:2.9:20
1.1810644511741324:0.001124909090909091:0.9999987345795373:1000:3.08:0.0:5.0:20
1.2909144601151892:0.4475136363636364:0.7997315452685947:1000:1.16:0.0:3.8:20
0.5120567127879911:0.042241272727272725:0.998215674878379:1000:1.4:0.0:3.95:20
2.836717650545704:0.551674:0.6956557977239991:1000:0.6799999999999999:0.0:3.5:20
1.4275510219612684:7.581818181818182e-05:0.9999999942516022:1000:4.04:0.0:4.25:20
1.7496072421821245:0.31399527272727273:0.9014069687049243:1000:2.12:0.0:2.9:20
1.1016106929560971:0.7888421818181818:0.37772801218433033:1000:0.2:0.0:2.45:20
14.208607347180013:0.7427727272727273:0.44828867561983365:1000:0.44:0.0:2.6:20
0.9237036606700892:0.09306654545454546:0.9913386181171565:1000:1.16:0.0:4.4:20
1.6191718210449144:0.0006818181818181819:0.9999995351239684:1000:4.5200000000000005:0.0:4.85:20
1.3635386577990662:0.0003190909090909091:0.9999998981809924:1000:5.0:0.0:2.9:20
0.7782346784920073:0.0009107272727272727:0.9999991705758334:1000:2.3600000000000003:0.0:4.1:20
2.3561697891631126:0.3952709090909091:0.8437609084264455:1000:2.6:0.0:2.45:20
1.198750620572436:0.3257467272727273:0.8938890696711068:1000:1.16:0.0:3.65:20
1.0535402767750546:0.0035414545454545455:0.9999874580997026:1000:4.28:0.0:2.9:20
1.2298978012857817:0.0002816363636363636:0.9999999206809588:1000:4.04:0.0:3.3499999999999996:20
0.8253237519506501:0.0005092727272727272:0.9999997406412892:1000:2.6:0.0:3.8:20
1.0843497500562436:0.0006156363636363637:0.9999996209918677:1000:3.3200000000000003:0.0:4.4:20
2.41629053278982:0.5371676363636364:0.7114509304435039:1000:0.6799999999999999:0.0:3.95:20
2.274966972884326:0.40758545454545453:0.8338740972429758:1000:2.6:0.0:2.6:20
1.5794564711733718:0.7030392727272727:0.5057357810031069:1000:0.2:0.0:2.75:20
1.510943066291463:0.00013945454545454545:0.9999999805524297:1000:4.28:0.0:4.55:20
0.8716460999399192:0.4012721818181818:0.8389806360988757:1000:0.9199999999999999:0.0:3.95:20
1.8271691374189842:0.44563345454545455:0.8014108241898837:1000:0.6799999999999999:0.0:4.85:20
3.437440302367781:0.2612609090909091:0.9317427373809912:1000:4.76:0.0:2.45:20
1.9979284876593097:0.0778150909090909:0.9939448116268104:1000:0.2:0.0:3.65:20
1.7116216738708028:0.0006738181818181818:0.9999995459690587:1000:5.0:0.0:3.8:20
1.9542241592548915:0.6073529090909091:0.63112244381881:1000:0.2:0.0:3.95:20
3.1838681519775776:0.4759796363636364:0.7734433857671407:1000:0.44:0.0:4.85:20
1.0103632548985373:0.043365272727272725:0.9981194531212888:1000:4.28:0.0:2.75:20
1.5919327110279367:0.435446:0.8103867810840002:1000:1.16:0.0:3.5:20
1.320179753477553:0.00017781818181818182:0.9999999683806954:1000:4.28:0.0:3.3499999999999996:20
2.5382312996594782:0.3607961818181818:0.8698261151854223:1000:3.08:0.0:2.45:20
0.7441991307848866:0.0005310909090909091:0.9999997179424467:1000:2.12:0.0:3.8:20
1.685278546365048:0.0006561818181818182:0.9999995694254229:1000:5.0:0.0:4.4:20
0.6135336350518487:0.0016554545454545455:0.9999972594702484:1000:1.64:0.0:4.55:20
