r_err:mag:sus:N:T:h:gamma:n:no_h_err
0.10934694622080553:0.001601818181818182:0.9999974341785123:100:4.376:0.0:3.77:100:0.10009602627613645
0.08134572308709817:0.00066:0.9999995643999999:100:2.696:0.0:3.95:100:0.0754018244110985
0.09295868429293636:0.002970909090909091:0.9999911736991737:100:4.808000000000001:0.0:3.38:100:0.08342727735140446
584.5762373515172:0.002130909090909091:0.9999954592264456:100:1.304:0.0:4.52:100:569.5897257289748
2.266976698978619:0.7676854545454546:0.41065904287933896:100:0.29600000000000004:0.0:3.59:100:2.0525789747728957
0.16163837894119024:0.0011036363636363637:0.9999987819867769:100:4.808000000000001:0.0:4.699999999999999:100:0.14595709547516425
4.836775332151303:0.004370909090909091:0.9999808951537192:100:1.736:0.0:3.08:100:4.203563248091736
0.09563802065845381:0.0003109090909090909:0.9999999033355379:100:2.8880000000000003:0.0:4.16:100:0.08714041606682975
516.3142867680016:0.24907272727272728:0.9379627765289252:100:1.928:0.0:3.17:100:512.4199563983163
2.0428130824601425:0.0036545454545454546:0.9999866442975209:100:2.168:0.0:3.59:100:1.8554921325514053
0.09015703477809858:0.0020709090909090907:0.9999957113355373:100:4.232:0.0:2.45:100:0.08239012338540704
0.1278492165875008:0.0009472727272727273:0.9999991026743804:100:4.712000000000001:0.0:3.65:100:0.11684070493180289
8.678465732579266:0.7962636363636364:0.36596422140495877:100:0.8240000000000001:0.0:2.3:100:8.269011097676627
0.43720344996972554:0.028574545454545453:0.9991834953520661:100:3.8960000000000004:0.0:2.36:100:0.42955719224962474
3.73401119916955:0.00022545454545454545:0.9999999491702479:100:0.5840000000000001:0.0:4.34:100:3.548524791732225
0.12336706676559385:0.0011945454545454546:0.9999985730611567:100:4.6160000000000005:0.0:3.44:100:0.11211005156086074
0.17609534509499325:0.003727272727272727:0.9999861074380169:100:4.232:0.0:2.12:100:0.16802120457323536
0.08604923401683506:0.0006909090909090909:0.9999995226446281:100:1.736:0.0:4.67:100:0.07974898293295206
0.123901899613449:0.0023636363636363638:0.9999944132231406:100:4.808000000000001:0.0:2.81:100:0.11207153972533908
48.11082862937962:0.24471272727272728:0.940115681110744:100:1.16:0.0:3.71:100:46.60760931840019
9.812792231772857:0.06514:0.9957567803999994:100:0.968:0.0:3.32:100:9.09166553174918
20.08131631701175:0.4842690909090909:0.7654834475900829:100:1.016:0.0:3.8899999999999997:100:18.442338439382635
104.09433700397189:0.7274454545454545:0.470823110661157:100:1.592:0.0:2.21:100:94.55372437101832
9.236341832741228:0.668629090909091:0.5529351387900826:100:1.544:0.0:2.6:100:8.359733609151704
94.58204198400915:0.022076363636363637:0.9995126341685949:100:1.256:0.0:4.82:100:90.64230069667724
3.719548754995893:0.6044818181818182:0.6346017314876036:100:2.3120000000000003:0.0:2.09:100:3.254254888067464
0.09681921101256893:0.0006272727272727273:0.9999996065289258:100:4.136:0.0:3.71:100:0.0878368933526766
5.676286426147788:0.3461036363636364:0.8802122728958676:100:0.34400000000000003:0.0:3.95:100:5.4469943049741385
0.08344383301999098:0.0009654545454545455:0.9999990678975206:100:2.696:0.0:3.8899999999999997:100:0.07541748778529243
4.793344135885952:0.6889290909090909:0.5253767076991738:100:0.5840000000000001:0.0:3.65:100:4.447431502843711
31.334155247615655:0.001369090909090909:0.9999981255900828:100:1.16:0.0:4.07:100:30.986540726761465
2.731916006906581:0.07119454545454545:0.9949313366975205:100:2.072:0.0:2.51:100:2.358703723455292
101.4786753451443:0.5417218181818182:0.7065374717057851:100:1.88:0.0:2.54:100:95.28811822049609
0.07139079973871156:0.002110909090909091:0.9999955440628097:100:3.2720000000000002:0.0:2.18:100:0.06459973701360144
2.5199718733801855:0.05492545454545455:0.9969831944429751:100:2.4080000000000004:0.0:2.48:100:2.5052683295740708
0.14256882266849716:0.0010090909090909091:0.9999989817355373:100:4.952:0.0:4.9399999999999995:100:0.12769274177067755
0.14511459334507454:0.0010254545454545455:0.9999989484429755:100:4.184:0.0:3.41:100:0.132211811757135
4.130711628912373:0.025725454545454544:0.9993382009884301:100:2.744:0.0:2.36:100:4.058975230683132
12.239597490163542:0.004598181818181818:0.999978856723967:100:1.16:0.0:4.79:100:11.157838187464058
11.033004737330186:0.26198727272727274:0.9313626689289253:100:1.112:0.0:3.32:100:10.152239231441607
0.08760189234610097:2.7272727272727273e-05:0.9999999992561982:100:2.552:0.0:4.43:100:0.07885487583470287
1.376570489261943:0.00040727272727272726:0.9999998341289258:100:2.4560000000000004:0.0:3.17:100:1.3311344884081475
0.08757411024686922:0.0023327272727272728:0.9999945583834711:100:2.3120000000000003:0.0:4.1:100:0.07942506555203013
0.13617197377597148:0.00022181818181818183:0.9999999507966942:100:4.472:0.0:4.1:100:0.12366141977731288
0.11228525164697878:0.0011218181818181817:0.9999987415239674:100:3.3680000000000003:0.0:4.13:100:0.10248904776233123
2.378642420065588:0.03245636363636364:0.998946584459504:100:3.8960000000000004:0.0:2.12:100:2.209907683540398
0.8170341022257835:0.02610181818181818:0.9993186950876036:100:1.64:0.0:3.17:100:0.7732795335435441
0.09694272605172559:0.0017654545454545455:0.9999968831702485:100:2.9360000000000004:0.0:4.4:100:0.08832981271305802
6.516603710236649:0.007101818181818182:0.9999495641785128:100:1.64:0.0:2.7800000000000002:100:6.46414348524094
1.8407485812836766:0.6924090909090909:0.5205696508264462:100:0.2:0.0:4.1899999999999995:100:1.6561526720650668
0.10662293649056118:0.00034545454545454544:0.9999998806611577:100:3.608:0.0:4.01:100:0.09574414476028023
0.25270213997002733:0.006898181818181818:0.9999524150876035:100:4.712000000000001:0.0:2.51:100:0.2388726715744138
0.08611695714970734:0.0016418181818181818:0.9999973044330578:100:1.832:0.0:3.11:100:0.07925131790368255
0.680124044192047:0.001129090909090909:0.9999987251537186:100:1.496:0.0:3.26:100:0.6645277630509032
0.08497011920318913:0.0017345454545454545:0.9999969913520658:100:2.552:0.0:3.98:100:0.07821961651566314
15.711608392800315:0.15953636363636364:0.9745481486776857:100:0.728:0.0:3.38:100:14.371540065985235
2.307057788272424:0.0007745454545454545:0.9999994000793391:100:1.688:0.0:3.6799999999999997:100:2.1099469360440954
0.11741808554576555:0.002392727272727273:0.999994274856198:100:3.8480000000000003:0.0:3.77:100:0.10575518094462324
7.103449249177548:0.74248:0.44872344960000005:100:1.448:0.0:2.12:100:6.5471343984356185
0.11041253473495947:0.0017145454545454545:0.9999970603338847:100:3.704:0.0:4.34:100:0.10002278997205075
0.08383909822200844:0.001729090909090909:0.9999970102446278:100:2.648:0.0:3.59:100:0.07633644064942574
0.1001086709834368:0.0003581818181818182:0.9999998717057855:100:4.904:0.0:2.9:100:0.08946872229007767
3.315609139992744:0.5487127272727272:0.6989143429289255:100:1.256:0.0:3.44:100:2.7425979101333278
0.09129806093496076:0.0008181818181818182:0.9999993305785122:100:3.56:0.0:3.3499999999999996:100:0.0817250257615218
0.07902177602662684:0.0001690909090909091:0.9999999714082647:100:3.8000000000000003:0.0:2.66:100:0.07098242054034426
0.09871488674931557:0.0033145454545454546:0.9999890137884296:100:2.9840000000000004:0.0:4.52:100:0.08961256284708981
0.9230556459456679:0.004718181818181818:0.9999777387603309:100:4.136:0.0:2.18:100:0.8882470594681872
0.12339335366583983:0.0003109090909090909:0.9999999033355372:100:4.6160000000000005:0.0:3.86:100:0.1119284720521873
0.13678926534475833:0.002407272727272727:0.9999942050380166:100:4.328:0.0:4.52:100:0.12589841909838279
4.362379816612697:0.4052418181818182:0.8357790687966941:100:0.632:0.0:3.65:100:4.073410317960839
0.0748038869381549:0.004370909090909091:0.9999808951537185:100:2.4560000000000004:0.0:3.8:100:0.06864023658370692
3.1088749003794223:0.008914545454545455:0.999920530879339:100:2.9840000000000004:0.0:2.57:100:2.901270028488648
0.09796489581066119:0.0013054545454545454:0.9999982957884301:100:4.28:0.0:4.46:100:0.08780261402695153
0.128044371379384:0.00034:0.9999998844000001:100:4.904:0.0:3.02:100:0.11806409566972896
0.09106052774229047:0.0023345454545454546:0.9999945498975201:100:4.856:0.0:2.7800000000000002:100:0.08236889751880304
0.08475620584011241:0.00010727272727272727:0.9999999884925626:100:3.704:0.0:3.2:100:0.07603108411832096
15.471153197713928:0.6140509090909091:0.622941481044628:100:1.256:0.0:2.9:100:14.463121322306495
2.3198060048906193:0.2740109090909091:0.9249180216991733:100:1.112:0.0:3.11:100:1.8560307070558848
0.13949603078012282:0.00040181818181818184:0.9999998385421489:100:2.2640000000000002:0.0:3.92:100:0.13118807452143058
0.09096003127900942:0.00041454545454545455:0.9999998281520665:100:4.5200000000000005:0.0:2.99:100:0.08244105193557213
0.7046036601146878:0.0025636363636363634:0.9999934277685956:100:1.16:0.0:4.1899999999999995:100:0.6625915929861025
0.0793898093907962:0.0025581818181818184:0.9999934557057854:100:2.216:0.0:4.3100000000000005:100:0.07310479689647405
4.324301079075483:0.0016236363636363636:0.9999973638049587:100:0.9199999999999999:0.0:4.91:100:4.12383185739132
1.6124260929594236:0.002230909090909091:0.9999950230446284:100:4.424:0.0:2.0:100:1.5217021724225386
0.0850011137097541:0.00026:0.9999999324000003:100:2.744:0.0:4.1:100:0.07663461763962286
0.08519276989658728:0.0005690909090909091:0.9999996761355373:100:2.6:0.0:4.16:100:0.07804241649892567
2.1514254798027834:0.00538:0.9999710556000001:100:1.64:0.0:3.98:100:1.9453277949740517
