r_err:mag:sus:N:T:h:gamma:n:no_h_err:model
2.482163716155995:0.9999921249999998:9.444506650568182e-06:1600:0.5:0.0::50:2.420094890935615:2D Ising Model
2.766787720531914:0.9999942727272727:1.8000214455806132e-06:1600:0.59:0.0::50:2.6976040879283665:2D Ising Model
2.396146531607305:0.9999782954545455:3.899624737937527e-06:1600:0.6799999999999999:0.0::50:2.3382957025464832:2D Ising Model
7.71844374292354:0.9999339545454546:1.8535809300203891e-06:1600:0.77:0.0::50:7.580665136517661:2D Ising Model
0.028622127933390366:0.9998094204545455:9.374014329172967e-07:1600:0.86:0.0::50:0.02651578709416643:2D Ising Model
6.509804203364804:0.9995296363636365:4.1309295258808e-06:1600:0.95:0.0::50:0.015163236188604046:2D Ising Model
3.757423589120447:0.9980908295454544:0.0006804215171486362:1600:1.04:0.0::50:0.013350767283678344:2D Ising Model
5.961393171975432:0.9981028068181818:3.146914287167232e-06:1600:1.13:0.0::50:0.011541218374049755:2D Ising Model
9.234300740053584:0.9966489772727273:5.767831668727161e-06:1600:1.22:0.0::50:0.0176680595525891:2D Ising Model
11.055958730255279:0.9944885227272725:6.702167834442638e-06:1600:1.31:0.0::50:0.048842344040798125:2D Ising Model
4.783306847125068:0.9912725681818182:9.099918976940675e-05:1600:1.4:0.0::50:0.0377184885396078:2D Ising Model
1.0178187132091896:0.9869476704545455:7.770315567757158e-05:1600:1.49:0.0::50:0.013605267602287086:2D Ising Model
0.31474363239320685:0.9812106022727273:2.6638231142689503e-05:1600:1.58:0.0::50:0.015686214576621837:2D Ising Model
0.11938896439827193:0.9728417045454545:0.00024222827602285096:1600:1.67:0.0::50:0.004180390659256891:2D Ising Model
0.06172371016855303:0.9626458636363635:5.787766460720321e-05:1600:1.76:0.0::50:0.00463060906098324:2D Ising Model
0.033826651276354786:0.94840625:0.00010040444755835383:1600:1.8499999999999999:0.0::50:0.005352674951749143:2D Ising Model
0.020413321156543797:0.9287839204545454:0.0001605686943383504:1600:1.94:0.0::50:0.0060340561918686:2D Ising Model
0.013587344917706858:0.9006340227272727:0.0003199475080382588:1600:2.0300000000000002:0.0::50:0.006609378434321572:2D Ising Model
0.009912495396879065:0.8568676931818181:0.0007571983828350982:1600:2.12:0.0::50:0.006899114599774757:2D Ising Model
0.0075928479746030005:0.7708430454545454:0.003615722059563031:1600:2.21:0.0::50:0.007500322248350928:2D Ising Model
0.005961189593100307:0.5288393636363636:0.018176097553084802:1600:2.3:0.0::50:0.005877667640890818:2D Ising Model
0.00507202425701233:0.27278187500000006:0.012907559251809746:1600:2.3899999999999997:0.0::50:0.0049924854268203:2D Ising Model
