r_err:mag:sus:N:T:h:gamma:n
1.5079251438508292:0.00018236363636363638:0.9999999667435054:1000:4.808000000000001:0.0:3.38:50
1.8507580068242486:0.00011327272727272727:0.99999998716929:1000:4.808000000000001:0.0:4.699999999999999:50
1.4495422830640186:0.41924145454545453:0.8242366027906147:1000:1.736:0.0:3.08:50
0.9915048861659901:0.00019636363636363636:0.9999999614413213:1000:2.8880000000000003:0.0:4.16:50
2.470106894793562:0.5519252727272728:0.6953784933249254:1000:0.5840000000000001:0.0:4.34:50
1.3308863702823728:0.00018327272727272726:0.9999999664111073:1000:4.6160000000000005:0.0:3.44:50
1.5378733125199613:0.26559072727272726:0.9294615655867438:1000:4.232:0.0:2.12:50
2.263794582286816:0.4961381818181818:0.7538469045421486:1000:0.968:0.0:3.32:50
2.837273454895965:0.5599447272727273:0.6864619023994715:1000:1.544:0.0:2.6:50
0.5688541240938771:0.00014527272727272729:0.9999999788958334:1000:1.256:0.0:4.82:50
3.135239408774693:0.48565254545454545:0.7641416050935192:1000:3.2720000000000002:0.0:2.18:50
2.7260120192217134:0.4406278181818182:0.8058471258443306:1000:2.4080000000000004:0.0:2.48:50
0.8105582753817177:8.836363636363637e-05:0.9999999921918685:1000:2.3120000000000003:0.0:4.1:50
2.280598657349642:0.48066254545454545:0.7689635173971572:1000:1.64:0.0:2.7800000000000002:50
2.374219630135407:0.6868209090909091:0.5282770388355374:1000:1.448:0.0:2.12:50
1.2752672655939705:0.0007570909090909091:0.9999994268133532:1000:4.904:0.0:2.9:50
1.0914416408418617:0.4407290909090909:0.8057578684264457:1000:1.256:0.0:3.44:50
1.1112486682648761:0.0002950909090909091:0.9999999129213525:1000:2.9840000000000004:0.0:4.52:50
2.6867736548670744:0.427418:0.8173138532760008:1000:4.136:0.0:2.18:50
1.512697021444827:0.0006896363636363636:0.9999995244016847:1000:4.6160000000000005:0.0:3.86:50
1.5275768272382002:0.000524:0.9999997254239981:1000:4.328:0.0:4.52:50
1.3211333050528915:0.00020236363636363637:0.9999999590489624:1000:4.904:0.0:3.02:50
2.361543097441553:0.5417290909090909:0.7065295920628102:1000:1.256:0.0:2.9:50
2.4748543525252718:0.4523569090909091:0.7953732267977167:1000:4.424:0.0:2.0:50
0.9260283921209594:8.163636363636363e-05:0.999999993335504:1000:2.6:0.0:4.16:50
0.6442103440897226:0.0010736363636363636:0.9999988473049585:1000:1.64:0.0:3.98:50
2.9926514850101396:0.7367:0.4572731099999993:1000:0.776:0.0:2.66:50
1.0486219284146414:0.0010905454545454545:0.999998810710612:1000:4.232:0.0:2.7199999999999998:50
2.57581018216009:0.46180618181818184:0.7867350504345105:1000:1.928:0.0:2.66:50
0.8060127576420426:0.03387272727272727:0.9988526383471085:1000:2.8880000000000003:0.0:2.9:50
1.5315579322628732:0.0008138181818181818:0.9999993376999677:1000:4.136:0.0:4.76:50
1.1293601771080906:0.3448216363636364:0.881098039095504:1000:1.64:0.0:3.26:50
2.9894566956115467:0.6399136363636364:0.5905105379958677:1000:1.16:0.0:2.7199999999999998:50
1.1078107065947271:0.40009036363636363:0.8399277009253224:1000:0.776:0.0:4.58:50
1.1424577024317362:0.0005141818181818181:0.9999997356170577:1000:3.656:0.0:3.56:50
0.8988355085667061:0.0009338181818181818:0.9999991279836018:1000:3.08:0.0:3.38:50
0.9573589985653661:0.0001789090909090909:0.9999999679915367:1000:2.9840000000000004:0.0:3.5:50
0.8560439593248097:0.00015036363636363636:0.9999999773907753:1000:2.12:0.0:4.34:50
0.6506045145536323:0.057629818181818185:0.9966788040563315:1000:2.12:0.0:3.2:50
0.5609302587195008:0.05148109090909091:0.9973496972788092:1000:1.448:0.0:3.74:50
0.8163276981331865:0.00012345454545454546:0.999999984758976:1000:2.216:0.0:4.46:50
48.058364668987956:0.09112090909090909:0.9916969799264462:1000:0.29600000000000004:0.0:4.76:50
0.7286843428315797:0.0006650909090909091:0.9999995576540821:1000:1.832:0.0:4.76:50
