r_err:mag:sus:N:T:h:gamma:n
35.89258088877732:0.7925818181818182:0.3718140614876032:100:0.9199999999999999:0.0:2.005:100
3.222620411933628:0.7345563636363637:0.46042694864132244:100:0.968:0.0:2.355:100
0.23185024733129683:0.009912727272727273:0.9999017378380166:100:4.424:0.0:2.025:100
0.15628018815156494:0.006114545454545455:0.9999626123338843:100:4.232:0.0:2.45:100
6.0179153905456015:0.7171527272727273:0.4856919657652894:100:0.8240000000000001:0.0:2.3:100
2.4898615750865174:0.12139636363636364:0.9852629228958669:100:3.8960000000000004:0.0:2.36:100
2.0509498961498753:0.16994:0.9711203964:100:2.12:0.0:2.115:100
0.3521560036639221:0.010249090909090909:0.9998949561355371:100:4.04:0.0:2.135:100
0.2466156695826684:0.004572727272727273:0.9999790901652893:100:4.232:0.0:2.12:100
4.486281602955693:0.0016745454545454546:0.9999971958975206:100:4.184:0.0:2.4:100
19.28970965062943:0.7467927272727273:0.4423006224925622:100:1.016:0.0:2.37:100
1.5504634487338362:0.9384090909090909:0.11938837809917356:100:0.34400000000000003:0.0:2.04:100
0.21095831303262458:0.007978181818181818:0.999936348614876:100:2.8880000000000003:0.0:2.46:100
0.3049246732015925:0.008818181818181819:0.999922239669422:100:3.224:0.0:2.25:100
4.840214860899431:0.7208436363636364:0.4803844519140498:100:1.976:0.0:2.005:100
47.345516461476365:0.6029854545454545:0.6364085416066119:100:1.592:0.0:2.21:100
1.0879182383372898:0.05293272727272727:0.9971981263834714:100:4.5200000000000005:0.0:2.155:100
296.1583760552278:0.03062727272727273:0.9990619701652887:100:2.3120000000000003:0.0:2.09:100
3.150778401828994:0.00017272727272727272:0.9999999701652892:100:3.8480000000000003:0.0:2.495:100
42.5941974662555:0.10308:0.9893745136000002:100:2.696:0.0:2.32:100
3.460014648418843:0.6203254545454545:0.615196330442975:100:1.832:0.0:2.19:100
0.08870522081398671:0.002109090909090909:0.9999955517355368:100:4.5680000000000005:0.0:2.41:100
2.747387302685673:0.3355581818181818:0.8874007066148764:100:3.656:0.0:2.01:100
6.898408070640148:0.5173163636363637:0.7323837799140499:100:1.976:0.0:2.225:100
3.7870269196880613:0.04596909090909091:0.9978868426809915:100:4.04:0.0:2.185:100
9.690350435945257:0.7566890909090909:0.42742161969917364:100:0.392:0.0:2.455:100
2.0506521766694403:0.008512727272727273:0.9999275334743802:100:1.832:0.0:2.355:100
