r_err:mag:sus:N:T:h:gamma:n:no_h_err:model
0.9996499387285531:0.04002312727272727:5.09579837355372e-06:2500:0.2:0.0::50:0.9796499387285531:2D Ising Model
1.4796337384636908:0.9999476363636363:6.353511011838287e-05:2500:0.29600000000000004:0.0::50:1.4500337384636905:2D Ising Model
1.9596254744210808:0.9998458181818182:0.00027966299342216204:2500:0.392:0.0::50:1.9204254744210807:2D Ising Model
2.43962046228505:0.9999222545454546:7.479357527706267e-05:2500:0.48800000000000004:0.0::50:2.3908204622850504:2D Ising Model
2.9184490313698586:0.9999735999999998:1.091716273972604e-05:2500:0.5840000000000001:0.0::50:2.8600723960436163:2D Ising Model
3.3887188543902353:0.9781367272727274:0.02133967475430239:2500:0.6799999999999999:0.0::50:3.3209368036184688:2D Ising Model
3.802823721386081:0.9937549090909091:0.005193297661071823:2500:0.776:0.0::50:3.7267598774495596:2D Ising Model
4.119512463293473:0.9996579636363637:8.203691434377134e-05:2500:0.8720000000000001:0.0::50:4.037136620839879:2D Ising Model
4.231361524021387:0.9994335272727274:6.3885607759032935e-06:2500:0.968:0.0::50:4.147107229719875:2D Ising Model
4.419590170508929:0.9965837818181817:0.0015507391102765181:2500:1.064:0.0::50:4.339708404014198:2D Ising Model
12.874014778376239:0.9704365818181818:0.017843442357325736:2500:1.16:0.0::50:12.775114768817406:2D Ising Model
4.142418329120069:0.9956918545454547:7.184041619624151e-05:2500:1.256:0.0::50:4.067111814869647:2D Ising Model
1.728240672094032:0.9929800727272727:8.204654867817498e-05:2500:1.352:0.0::50:1.6848932053548122:2D Ising Model
0.599458895453139:0.9869989818181818:0.001070458241373453:2500:1.448:0.0::50:0.5857409201763014:2D Ising Model
0.1703858159893258:0.9837340363636363:2.1767280781055958e-05:2500:1.544:0.0::50:0.16729725184871935:2D Ising Model
0.08059123035954682:0.9753546909090909:0.0003898630852521671:2500:1.64:0.0::50:0.08052489461289042:2D Ising Model
0.07806132049454757:0.965662909090909:9.400006634421295e-05:2500:1.736:0.0::50:0.07799498464286289:2D Ising Model
0.08748727085859362:0.9513556363636364:0.00010887703605326787:2500:1.832:0.0::50:0.08740832583858393:2D Ising Model
0.09990402074851933:0.9314441454545456:0.0002355584007434587:2500:1.928:0.0::50:0.09980412660809068:2D Ising Model
0.10945289371009963:0.9027161454545455:0.00020847848062195798:2500:2.024:0.0::50:0.10932323353954966:2D Ising Model
0.11285508798831621:0.8566090181818181:0.0005161008604372368:2500:2.12:0.0::50:0.11264697527725578:2D Ising Model
0.08416605013720936:0.7602277818181818:0.0028131388049670316:2500:2.216:0.0::50:0.0836937809387172:2D Ising Model
0.07338292869875128:0.43304269090909087:0.01813707940045411:2500:2.3120000000000003:0.0::50:0.07163797506911092:2D Ising Model
0.07255742141800053:0.19114879999999998:0.0074385743749682855:2500:2.4080000000000004:0.0::50:0.07084350144527854:2D Ising Model
0.07382984615999105:0.1250418181818182:0.0033568392202888596:2500:2.5040000000000004:0.0::50:0.07215398003884275:2D Ising Model
0.07477337349732492:0.09657265454545454:0.0019909705767303244:2500:2.6:0.0::50:0.07311739776034644:2D Ising Model
0.07863224538562079:0.07963250909090909:0.0013426580164131738:2500:2.696:0.0::50:0.07689394334386113:2D Ising Model
0.08358260958337853:0.06823359999999999:0.0009415642426882:2500:2.7920000000000003:0.0::50:0.08175216048078768:2D Ising Model
0.08785572245100104:0.06137338181818182:0.0007462162542872185:2500:2.8880000000000003:0.0::50:0.08594750585293426:2D Ising Model
0.08923414117923532:0.05495665454545454:0.0005797149053402167:2500:2.9840000000000004:0.0::50:0.08732409816011735:2D Ising Model
0.0923025168417014:0.05135410909090909:0.0004837426173042824:2500:3.08:0.0::50:0.09033502031715183:2D Ising Model
0.09477191407787745:0.0468024:0.00039434302543622617:2500:3.176:0.0::50:0.0927800909839103:2D Ising Model
0.09590862926987187:0.04445898181818182:0.0003481471652755157:2500:3.2720000000000002:0.0::50:0.0939060159973109:2D Ising Model
0.09847054339831744:0.04227338181818182:0.00030433767993404137:2500:3.3680000000000003:0.0::50:0.09640522865325662:2D Ising Model
0.10166322119707598:0.03990763636363637:0.0002662329350867482:2500:3.4640000000000004:0.0::50:0.09955471501218023:2D Ising Model
0.10488180559060208:0.0389568:0.00023858718568335033:2500:3.56:0.0::50:0.10271975784169445:2D Ising Model
0.10804524628955411:0.03643352727272728:0.00021066052404868256:2500:3.656:0.0::50:0.10581737896170451:2D Ising Model
0.1108646463025112:0.03584225454545455:0.00019826390095191104:2500:3.7520000000000002:0.0::50:0.10857515845648953:2D Ising Model
0.11339996536266338:0.03476909090909091:0.0001812672021099294:2500:3.8480000000000003:0.0::50:0.11106602772325032:2D Ising Model
0.11597796832539171:0.03375330909090909:0.0001641358367036025:2500:3.9440000000000004:0.0::50:0.11358022969554717:2D Ising Model
0.11826058099878022:0.03245912727272727:0.000149626094140905:2500:4.04:0.0::50:0.11582630346416845:2D Ising Model
0.12064729549365721:0.0317288:0.00013936296633022683:2500:4.136:0.0::50:0.11816953291854335:2D Ising Model
0.12318513464976556:0.03091832727272727:0.00012657079707041198:2500:4.232:0.0::50:0.12065514172934075:2D Ising Model
0.12571083215756318:0.030339345454545454:0.00012398441630161468:2500:4.328:0.0::50:0.12313780124533089:2D Ising Model
0.12824779578270126:0.029978254545454545:0.00011666598550236874:2500:4.424:0.0::50:0.12561250959709797:2D Ising Model
0.1309496006616152:0.029507636363636364:0.00011018652129013385:2500:4.5200000000000005:0.0::50:0.12824432169666217:2D Ising Model
