r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
1.98342382,0.410456291,0.000272968,2500,1.832,0,2.84,50,1.943844279,SF
0.233474926,0.023164364,0.000102034,2500,2.984,0,4.28,50,0.22871436,SF
0.357512572,0.019643127,5.40E-05,2500,4.136,0,4.46,50,0.350280779,SF
0.23899424,0.108443564,0.000231701,2500,3.752,0,3.02,50,0.234162592,SF
0.430020084,0.307896727,0.001245553,2500,1.064,0,4.16,50,0.421679803,SF
1.943813157,0.7652368,0.000308002,2500,0.392,0,2.54,50,1.905060328,SF
0.27599081,0.105272291,0.000148407,2500,4.904,0,2.72,50,0.270691778,SF
2.178596967,0.704009455,0.000126269,2500,1.352,0,2.12,50,2.135032816,SF
2.333109231,0.567519927,0.007099651,2500,0.296,0,3.86,50,2.286472251,SF
2.378094915,0.3916488,0.007112718,2500,0.296,0,4.94,50,2.330553416,SF
0.186960766,0.035130618,0.000277249,2500,2.408,0,3.68,50,0.183125498,SF
0.306343562,0.020207636,6.37E-05,2500,3.656,0,4.88,50,0.300156688,SF
2.692822252,0.357643927,0.000114969,2500,3.656,0,2.36,50,2.639035549,SF
0.227067223,0.023483127,0.000105206,2500,2.984,0,4.1,50,0.222420449,SF
1.517864596,0.170866255,0.000115881,2500,4.904,0,2.66,50,1.487893888,SF
0.114052078,0.196880364,0.002966804,2500,1.256,0,4.16,50,0.111607562,SF
0.241807636,0.077356873,0.000285807,2500,4.52,0,2.6,50,0.236933287,SF
0.186445308,0.026614109,0.000176423,2500,2.312,0,4.34,50,0.182623093,SF
1.683046272,0.468007055,0.000834872,2500,0.776,0,3.86,50,1.649428089,SF
0.322167003,0.020165527,5.60E-05,2500,4.136,0,4.22,50,0.315668522,SF
3.029695427,0.302098327,9.16E-05,2500,4.712,0,2.24,50,2.969185221,SF
1.038212885,0.126728,0.000204067,2500,3.752,0,2.96,50,1.01794062,SF
2.501121398,0.494434764,0.000194445,2500,1.832,0,2.54,50,2.451157407,SF
2.300380753,0.217987418,0.000140242,2500,3.944,0,2.66,50,2.254533902,SF
0.328751987,0.020237745,6.08E-05,2500,3.752,0,5,50,0.322131908,SF
3.049611424,0.490323273,7.78E-05,2500,3.752,0,2,50,2.988644935,SF
1.118309881,0.402462764,0.000809725,2500,1.064,0,4.1,50,1.096040169,SF
1.370221888,0.822317455,0.00016515,2500,0.488,0,2.12,50,1.342885991,SF
3.115057952,0.432400509,6.66E-05,2500,4.616,0,2.06,50,3.052795855,SF
0.17321018,0.027989236,0.000211314,2500,2.024,0,4.52,50,0.169650073,SF
1.459188841,0.237764073,0.000215517,2500,3.08,0,2.72,50,1.430215684,SF
0.219287318,0.023969818,0.000128348,2500,2.504,0,4.58,50,0.214815968,SF
0.409411478,0.310575418,0.001419654,2500,0.968,0,4.58,50,0.401471836,SF
2.609545867,0.604444,0.001446216,2500,0.488,0,4.04,50,2.557373618,SF
0.384050453,0.019349891,4.54E-05,2500,4.616,0,4.28,50,0.376332719,SF
1.648497631,0.762272364,0.000592984,2500,0.2,0,2.54,50,1.622577695,SF
2.452934959,0.3715824,0.000170352,2500,2.696,0,2.6,50,2.403952343,SF
2.335451177,0.208998182,0.000134933,2500,4.136,0,2.6,50,2.288918491,SF
