r_err:mag:sus:N:T:h:gamma:n
0.10934694622080553:0.001601818181818182:0.9999974341785123:100:4.376:0.0:3.77:100
0.08134572308709817:0.00066:0.9999995643999999:100:2.696:0.0:3.95:100
0.09295868429293636:0.002970909090909091:0.9999911736991737:100:4.808000000000001:0.0:3.38:100
584.5762373515172:0.002130909090909091:0.9999954592264456:100:1.304:0.0:4.52:100
2.266976698978619:0.7676854545454546:0.41065904287933896:100:0.29600000000000004:0.0:3.59:100
0.16163837894119024:0.0011036363636363637:0.9999987819867769:100:4.808000000000001:0.0:4.699999999999999:100
4.836775332151303:0.004370909090909091:0.9999808951537192:100:1.736:0.0:3.08:100
0.09563802065845381:0.0003109090909090909:0.9999999033355379:100:2.8880000000000003:0.0:4.16:100
516.3142867680016:0.24907272727272728:0.9379627765289252:100:1.928:0.0:3.17:100
2.0428130824601425:0.0036545454545454546:0.9999866442975209:100:2.168:0.0:3.59:100
0.09015703477809858:0.0020709090909090907:0.9999957113355373:100:4.232:0.0:2.45:100
0.1278492165875008:0.0009472727272727273:0.9999991026743804:100:4.712000000000001:0.0:3.65:100
8.678465732579266:0.7962636363636364:0.36596422140495877:100:0.8240000000000001:0.0:2.3:100
0.43720344996972554:0.028574545454545453:0.9991834953520661:100:3.8960000000000004:0.0:2.36:100
3.73401119916955:0.00022545454545454545:0.9999999491702479:100:0.5840000000000001:0.0:4.34:100
0.12336706676559385:0.0011945454545454546:0.9999985730611567:100:4.6160000000000005:0.0:3.44:100
0.17609534509499325:0.003727272727272727:0.9999861074380169:100:4.232:0.0:2.12:100
0.08604923401683506:0.0006909090909090909:0.9999995226446281:100:1.736:0.0:4.67:100
0.123901899613449:0.0023636363636363638:0.9999944132231406:100:4.808000000000001:0.0:2.81:100
48.11082862937962:0.24471272727272728:0.940115681110744:100:1.16:0.0:3.71:100
9.812792231772857:0.06514:0.9957567803999994:100:0.968:0.0:3.32:100
20.08131631701175:0.4842690909090909:0.7654834475900829:100:1.016:0.0:3.8899999999999997:100
104.09433700397189:0.7274454545454545:0.470823110661157:100:1.592:0.0:2.21:100
9.236341832741228:0.668629090909091:0.5529351387900826:100:1.544:0.0:2.6:100
94.58204198400915:0.022076363636363637:0.9995126341685949:100:1.256:0.0:4.82:100
3.719548754995893:0.6044818181818182:0.6346017314876036:100:2.3120000000000003:0.0:2.09:100
0.09681921101256893:0.0006272727272727273:0.9999996065289258:100:4.136:0.0:3.71:100
5.676286426147788:0.3461036363636364:0.8802122728958676:100:0.34400000000000003:0.0:3.95:100
0.08344383301999098:0.0009654545454545455:0.9999990678975206:100:2.696:0.0:3.8899999999999997:100
4.793344135885952:0.6889290909090909:0.5253767076991738:100:0.5840000000000001:0.0:3.65:100
31.334155247615655:0.001369090909090909:0.9999981255900828:100:1.16:0.0:4.07:100
2.731916006906581:0.07119454545454545:0.9949313366975205:100:2.072:0.0:2.51:100
101.4786753451443:0.5417218181818182:0.7065374717057851:100:1.88:0.0:2.54:100
0.07139079973871156:0.002110909090909091:0.9999955440628097:100:3.2720000000000002:0.0:2.18:100
2.5199718733801855:0.05492545454545455:0.9969831944429751:100:2.4080000000000004:0.0:2.48:100
0.14256882266849716:0.0010090909090909091:0.9999989817355373:100:4.952:0.0:4.9399999999999995:100
0.14511459334507454:0.0010254545454545455:0.9999989484429755:100:4.184:0.0:3.41:100
4.130711628912373:0.025725454545454544:0.9993382009884301:100:2.744:0.0:2.36:100
12.239597490163542:0.004598181818181818:0.999978856723967:100:1.16:0.0:4.79:100
11.033004737330186:0.26198727272727274:0.9313626689289253:100:1.112:0.0:3.32:100
0.08760189234610097:2.7272727272727273e-05:0.9999999992561982:100:2.552:0.0:4.43:100
1.376570489261943:0.00040727272727272726:0.9999998341289258:100:2.4560000000000004:0.0:3.17:100
0.08757411024686922:0.0023327272727272728:0.9999945583834711:100:2.3120000000000003:0.0:4.1:100
