r_err:mag:sus:N:T:h:gamma:n:no_h_err
inf:0.0001781818181818182:0.0:100:0.2:0.0:1.0:20:nan
1.122556336225236:0.9979272727272728:0.0:100:0.2:0.0:1.3:20:1.0094192428967814
0.4504638725667649:0.9096836363636364:0.0:100:0.2:0.0:1.6:20:0.4044908990043402
1.182361928877309:0.8147618181818181:0.0:100:0.2:0.0:1.9:20:1.0631566308606175
1.0751650412536182:0.8390963636363636:0.0:100:0.2:0.0:2.2:20:0.9667017110949652
1.0095995199504624:0.8596436363636364:0.0:100:0.2:0.0:2.5:20:0.9076916243926386
1.4483745525214309:0.7725781818181818:0.0:100:0.2:0.0:2.8:20:1.302571439332749
1.700982493542507:0.4505072727272727:0.0:100:0.2:0.0:3.1:20:1.5299498276266776
1.8477048745886935:0.7516836363636363:0.0:100:0.2:0.0:3.4:20:1.6619646737712315
2.2169272322552303:0.4571272727272727:0.0:100:0.2:0.0:3.6999999999999997:20:1.9942845849480024
2.1109527503934804:0.48450363636363636:0.0:100:0.2:0.0:4.0:20:1.8988300187408869
2.3900814638928525:0.2952090909090909:0.0:100:0.2:0.0:4.3:20:2.1500456571188
2.3165281839342082:0.46948181818181817:0.0:100:0.2:0.0:4.6:20:2.0839113747869553
2.141727715812968:0.5979636363636364:0.0:100:0.2:0.0:4.9:20:1.9265613841920257
2.3788061721000227:0.3332218181818182:0.0:100:0.2:0.0:5.2:20:2.14176781922367
2.309057835017573:0.2719527272727273:0.0:100:0.2:0.0:5.5:20:2.0772882940559234
2.1443366223818185:0.13139272727272727:0.0:100:0.2:0.0:5.8:20:1.9290186138178411
2.1209320033437495:0.05436:0.0:100:0.2:0.0:6.1:20:1.9079655989455595
2.1730720054252046:0.05536727272727273:0.0:100:0.2:0.0:6.3999999999999995:20:1.9549787741797326
2.390270225359959:0.40086727272727274:0.0:100:0.2:0.0:6.7:20:2.1502343751605495
2.344451645325917:0.4050854545454545:0.0:100:0.2:0.0:7.0:20:2.109075639803039
inf:0.0005563636363636364:0.0:100:0.44:0.0:1.0:20:nan
1.7811364358370878:0.9860145454545455:0.0:100:0.44:0.0:1.3:20:1.6237590830599191
0.8991790928281268:0.9374672727272727:0.0:100:0.44:0.0:1.6:20:0.8084616797666181
2.462384740198683:0.8437327272727273:0.0:100:0.44:0.0:1.9:20:2.239915677606193
6.65034731614866:0.7938690909090909:0.0:100:0.44:0.0:2.2:20:6.183864241543931
2.3765211084627484:0.7743745454545454:0.0:100:0.44:0.0:2.5:20:2.1469566267156
4.502438714014153:0.6852963636363636:0.0:100:0.44:0.0:2.8:20:4.099879466940013
11.573764775589986:0.5817909090909091:0.0:100:0.44:0.0:3.1:20:11.274539141154563
11.678441396468118:0.4819981818181818:0.0:100:0.44:0.0:3.4:20:11.178895686316293
4.622820457025418:0.5902109090909091:0.0:100:0.44:0.0:3.6999999999999997:20:4.318290290149909
22.65511884602229:0.6123563636363636:0.0:100:0.44:0.0:4.0:20:21.70353469708428
9.164165948131913:0.4809236363636364:0.0:100:0.44:0.0:4.3:20:8.688694856090661
