r_err:mag:sus:N:T:h:gamma:n:no_h_err
1.1314735655005244:0.24624247272727273:0.0:5000:2.6:0.0:3.0:20:1.1155020245834373
0.09182552892372024:0.00015367272727272727:0.0:5000:2.6:0.0:4.0:20:0.0904876498542502
0.15922902145629828:0.00016214545454545454:0.0:5000:4.04:0.0:5.25:20:0.15697647652609478
0.19983481384630433:0.00014981818181818182:0.0:5000:4.76:0.0:7.0:20:0.197007847803339
0.8623135791044146:0.16667898181818183:0.0:5000:3.08:0.0:3.0:20:0.8501717563865474
0.05894517662694744:0.0002229818181818182:0.0:5000:1.4:0.0:7.0:20:0.058050975846864104
2.1665508165148637:0.5541702545454545:0.0:5000:1.16:0.0:3.0:20:2.1359152271206603
0.20750570962518017:1.9454545454545453e-05:0.0:5000:4.76:0.0:6.75:20:0.20456770953248876
0.06684420678582634:0.000528909090909091:0.0:5000:1.64:0.0:5.25:20:0.06583885363664559
0.08817218904315578:7.854545454545454e-06:0.0:5000:2.3600000000000003:0.0:4.25:20:0.08688368969165669
2.4752544192344:0.5903789818181818:0.0:5000:2.6:0.0:2.0:20:2.4402469560563684
2.0021238174442595:0.5240254909090909:0.0:5000:0.6799999999999999:0.0:4.0:20:1.9738111374224792
0.06818962290916297:5.658181818181818e-05:0.0:5000:1.64:0.0:5.5:20:0.06717306709027196
2.5592462654379515:0.5103826909090909:0.0:5000:0.44:0.0:4.25:20:2.5230522273057083
0.1547483162563197:0.00010450909090909091:0.0:5000:4.76:0.0:4.0:20:0.15255329166327447
0.10795148784820421:0.00014047272727272728:0.0:5000:3.56:0.0:3.25:20:0.1064075127876835
0.5411893358844089:0.28150385454545457:0.0:5000:0.6799999999999999:0.0:6.5:20:0.5335510835193956
0.10553037345507045:4.4763636363636365e-05:0.0:5000:3.3200000000000003:0.0:3.5:20:0.10401306269188344
0.4878848042598025:0.2874053090909091:0.0:5000:0.6799999999999999:0.0:6.75:20:0.4810013480483409
0.19454435014327626:0.00013345454545454546:0.0:5000:4.5200000000000005:0.0:7.0:20:0.19179704226845729
2.1825495480454373:0.14116832727272727:0.0:5000:0.2:0.0:5.5:20:2.1516826103404507
0.10683704262224575:0.00032734545454545454:0.0:5000:2.6:0.0:6.0:20:0.10528389393127315
3.2163817052085335:0.4335492:0.0:5000:4.76:0.0:2.0:20:3.1708942312425297
2.581032990268886:0.6244792:0.0:5000:0.6799999999999999:0.0:3.25:20:2.5445314128244005
0.07996277294808397:0.00010538181818181818:0.0:5000:1.88:0.0:6.0:20:0.07877563085603204
2.62367327169898:0.5312698545454545:0.0:5000:3.3200000000000003:0.0:2.0:20:2.586567080748784
0.07839872467815054:0.00020174545454545455:0.0:5000:1.88:0.0:5.75:20:0.07724120910247599
1.838163595080789:0.7990577818181818:0.0:5000:0.6799999999999999:0.0:2.25:20:1.8121658105899556
2.2909975734877817:0.6317199636363636:0.0:5000:2.3600000000000003:0.0:2.0:20:2.2585959703478347
0.09283126972752782:6.0327272727272725e-05:0.0:5000:2.12:0.0:7.0:20:0.09148883871289239
0.1826027953927645:1.7345454545454547e-05:0.0:5000:4.28:0.0:6.5:20:0.17999091985701451
0.18896143995454054:4.5054545454545456e-05:0.0:5000:4.5200000000000005:0.0:5.75:20:0.18625092464811965
0.19636668163134496:0.00017494545454545455:0.0:5000:4.76:0.0:6.5:20:0.19355828262940358
0.10162739749218097:5.236363636363637e-05:0.0:5000:2.3600000000000003:0.0:6.0:20:0.10016220389191963
0.14916998658419722:0.00022236363636363637:0.0:5000:3.56:0.0:6.25:20:0.14705466689162605
0.13405175361425925:9.592727272727272e-05:0.0:5000:3.3200000000000003:0.0:5.0:20:0.13213192957263326
0.10648213124429277:0.00014872727272727273:0.0:5000:3.3200000000000003:0.0:3.75:20:0.10494324967504111
0.04920620082216718:3.112727272727273e-05:0.0:5000:1.16:0.0:6.5:20:0.048449849380324025
0.08134368506205324:7.141818181818182e-05:0.0:5000:2.3600000000000003:0.0:4.0:20:0.08016163441821363
0.13588544085605275:0.0005716:0.0:5000:4.5200000000000005:0.0:3.5:20:0.13395003077350282
0.39180152147280545:0.22164305454545455:0.0:5000:0.6799999999999999:0.0:7.0:20:0.38628222608498064
0.17620093511981014:0.00018454545454545454:0.0:5000:4.5200000000000005:0.0:4.75:20:0.17371943285721547
0.10056117534027556:0.0001158909090909091:0.0:5000:2.6:0.0:5.0:20:0.09909746433437695
2.4609187093633977:0.47204443636363635:0.0:5000:3.08:0.0:2.25:20:2.4261193009256066
0.1040887741886573:4.2509090909090906e-05:0.0:5000:3.08:0.0:3.75:20:0.10259070258256978
0.19825097964607433:0.00039716363636363634:0.0:5000:5.0:0.0:5.75:20:0.19543423891586567
0.09490577512943203:8.098181818181818e-05:0.0:5000:3.08:0.0:3.5:20:0.09353077200899643
2.40116763107107:0.48831901818181817:0.0:5000:1.64:0.0:2.75:20:2.3672162150293152
0.19028274269189824:5.0363636363636366e-05:0.0:5000:4.5200000000000005:0.0:6.0:20:0.18757443924350856
2.4371832017520023:0.24562825454545453:0.0:5000:4.28:0.0:2.5:20:2.4027317253526648
0.05779079442896868:0.0002278909090909091:0.0:5000:1.4:0.0:5.5:20:0.05691812520103131
0.13000881806292955:4.8e-05:0.0:5000:5.0:0.0:3.0:20:0.12815704577056994
0.14222556366558492:0.0002753818181818182:0.0:5000:3.8:0.0:4.75:20:0.14017706806244118
1.9878439909429595:0.7022304363636364:0.0:5000:1.64:0.0:2.0:20:1.9597293230088741
2.869197791711513:0.474546:0.0:5000:4.28:0.0:2.0:20:2.82861982536624
0.12045877049360429:0.0002001090909090909:0.0:5000:3.08:0.0:4.75:20:0.118733567063718
0.079540773202869:0.001232909090909091:0.0:5000:2.3600000000000003:0.0:3.5:20:0.07836639856039829
0.14233356685775755:0.00016898181818181818:0.0:5000:3.3200000000000003:0.0:6.75:20:0.1402812371012792
1.977188161637559:0.3125811636363636:0.0:5000:2.84:0.0:2.75:20:1.9492398434072484
